dfa,9922948,9219,18,57
dfb,9809786,8181,158,224
dfc,9688905,10778,73,177
dfd,9899000,9624,35,59
dfe,9578993,8979,382,640
dff,9742864,9394,17,79
dfg,9882197,10021,42,82
dga,9654834,9748,5,8
dgb,9993895,7671,27,44
dgc,9978561,10218,50,74
dgd,9988533,7441,63,121
dge,9833178,13043,42,139
dgf,9707368,9601,106,235
dgg,9659663,6714,86,207
eaa,9903314,8640,38,153
eab,9860636,9517,154,206
eac,9875966,7638,161,277
ead,9973075,7893,66,232
eae,9891515,9041,6,14
eaf,9404740,8988,88,157
eag,9892865,8254,112,281
eba,9791782,8905,105,135
ebb,9611332,8004,667,1894
ebc,9983367,8416,120,182
ebd,9848001,10233,14,29
ebe,9860222,9660,54,153
ebf,9869012,8300,262,376
ebg,9927499,10112,33,68
eca,9915520,8607,77,220
ecb,9841619,9426,190,253
ecc,9873436,8940,72,288
ecd,9268712,9871,57,130
ece,9929382,8205,156,255
ecf,9993919,7955,46,84
ecg,9946713,7931,11,39
eda,9951376,10388,133,227
edb,9701141,9223,225,393
edc,9853982,9145,15,34
edd,9940461,7435,38,79
ede,9999500,8225,5,9
edf,9955338,10415,132,248
edg,9996065,8847,5,14
eea,9794360,7654,210,273
eeb,9992350,9881,95,251
eec,9977060,8472,355,567
eed,9329712,8323,10,31
eee,9881076,7302,41,67
eef,9999317,9687,84,215
eeg,9924227,9711,47,133
efa,9989078,8522,124,228
efb,9495745,9533,174,322
efc,9678682,9191,67,207
efd,9491267,9490,112,183
efe,9979146,7765,58,112
eff,9620144,9445,381,636
efg,9880734,9911,78,146
ega,9986025,10029,114,271
egb,9932231,7788,82,213
egc,9459315,9556,54,79
egd,9824936,10181,94,161
ege,9899665,8684,70,209
egf,9740027,9884,7,14
egg,9949852,6907,25,65
faa,9969843,8271,66,171
fab,9885995,10385,190,292
fac,9844412,8098,176,331
fad,9872945,9217,158,269
fae,9508158,7640,129,275
faf,9687853,8869,36,61
fag,9552470,10106,45,145
fba,9797736,7510,150,217
fbb,9681025,8778,12,24
fbc,9943967,8686,150,304
fbd,9860205,6170,5,15
fbe,9912708,11008,155,293
fbf,9969431,9727,60,114
fbg,9836272,8711,70,254
fca,9972158,8758,209,381
fcb,9899036,10497,39,125
fcc,9738351,8739,88,164
fcd,9888315,9759,55,129
fce,9349006,9486,38,107
fcf,9910580,10203,133,224
fcg,9805094,9912,99,335
fda,9760027,9877,45,116
fdb,9967731,10048,259,402
fdc,9914811,10301,88,236
fdd,9964085,9090,126,233
fde,9855935,9812,125,200
fdf,9882508,9208,5,7
fdg,9861733,9994,52,174
fea,9888743,9075,122,190
feb,9960692,10266,108,253
fec,9911259,8925,204,285
fed,9567019,9070,10,45
fee,9963232,9467,59,108
fef,9796756,8312,121,229
feg,9825494,9498,30,101
ffa,9742721,8479,204,312
ffb,9989202,9842,734,1768
ffc,9688469,10167,316,517
ffd,9565233,8679,5,8
ffe,9789414,8839,159,316
fff,9882126,8083,187,292
ffg,9856247,10801,266,607
fga,9987776,7483,92,147
fgb,9952901,6916,17,31
fgc,9976743,9291,170,366
fgd,9873292,7744,42,67
fge,9979851,8637,118,267
fgf,9482512,9264,104,162
fgg,9989427,10409,151,352
gaa,9949077,9427,9,27
gab,9470448,9761,13,38
gac,9916821,7683,87,211
gad,9783421,7194,182,277
gae,9967439,10118,43,67
gaf,9861791,6821,53,94
gag,9997554,9037,193,327
gba,9983803,8790,291,501
gbb,9550739,10456,307,488
gbc,9923826,8016,322,483
gbd,9945237,8195,138,293
gbe,9568186,8275,48,206
gbf,9805656,7655,40,69
gbg,9727769,7968,187,346
gca,9994322,7671,103,155
gcb,9928110,9409,329,593
gcc,9695151,7688,296,535
gcd,9842154,9313,13,42
gce,9906187,8251,75,134
gcf,9644091,9933,82,196
gcg,9822810,9646,40,88
gda,9752959,8195,5,10
gdb,9853580,8849,46,173
gdc,9946022,8617,442,593
gdd,9811177,8519,157,318
gde,9976422,9447,150,270
gdf,9592241,9330,67,168
gdg,9632233,9657,165,253
gea,9815835,8231,296,460
geb,9676795,9761,17,85
gec,9899906,9376,5,20
ged,9896244,8203,52,86
gee,9926974,9130,203,290
gef,9642647,7831,74,134
geg,9932903,10067,73,160
gfa,9982346,8127,11,45
gfb,9737148,10060,45,115
gfc,9906793,9102,79,291
gfd,9945138,6741,29,79
gfe,9898553,9627,13,48
gff,9882951,7863,189,302
gfg,9838054,9116,137,223
gga,9913077,9747,246,412
ggb,9812876,9194,65,197
ggc,9987588,8784,380,773
ggd,9978103,12113,6,12
gge,9870457,8023,47,76
ggf,9971392,10010,140,335
ggg,9548295,7731,169,318
